"","census_tract_code","year","arrests_B","arrests_W","arrests_total","state","county","ct_pop","ct_white","ct_black","pct_white","pct_black","total_arrests_prct","arrests_B_prct","arrests_W_prct","total_arrests_pop_prct","arrests_B_pop_prct","arrests_W_pop_prct","SIR_tot_pop","SIR_B","SIR_W"
"1",10100,2010,965,693,1658,37,129,3153,822,2116,0.260704091,0.671106882,0.999939690006634,0.581991435980942,0.417948254025692,0.5258317211633,0.456027597939606,0.842963143169931,15.3901433052658,4.02812608207139,38.585071317785
"2",10100,2011,854,754,1614,37,129,2749,623,1970,0.226627865,0.716624227,0.99993804596989,0.529087417136485,0.467133387026826,0.587101233130843,0.433480533983047,1.21007863906275,17.1833910905803,3.82896616980315,55.389100895663
"3",10100,2012,839,772,1617,37,129,2877,561,2263,0.194994786,0.786583246,0.999938160905324,0.518830004328737,0.477397810896048,0.562024260540127,0.370730414033847,1.37586882908572,16.4494334644037,3.27468963925433,62.9778387398465
"4",10100,2013,752,701,1454,37,129,2462,636,1795,0.258326564,0.729082047,0.999931228938863,0.5171583797538,0.482085138573688,0.590552780147029,0.418918166118879,1.10202798302154,17.2844116282657,3.70033567885172,50.4432829164738
"5",10100,2014,629,539,1169,37,129,2212,566,1627,0.255877034,0.735533454,0.999914464117697,0.538020699683517,0.461038405611154,0.528457122191583,0.386577346198759,0.952128599187423,15.4669840442948,3.41466678331908,43.5819171941466
"6",10100,2015,571,574,1153,37,129,2161,845,1278,0.391022675,0.591392874,0.999913277252623,0.495186887520597,0.497788569941896,0.533524593956781,0.446756904780534,0.679209560998698,15.6152997763492,3.94623735191193,31.0895554131875
"7",10100,2016,696,615,1315,37,129,2245,882,1259,0.392873051,0.560801782,0.999923960155121,0.529237320355866,0.467645046004106,0.585720012471605,0.552775792232547,0.697199863961002,17.1429652603644,4.88271016116109,31.9130280981482
"8",10100,2017,657,554,1215,37,129,2251,906,1225,0.402487783,0.544202577,0.999917702246729,0.540696238992675,0.4559295531232,0.539736129003598,0.536282752428373,0.611411543979693,15.7971001711689,4.73702589970849,27.9862271798256
"9",10100,2018,437,477,920,37,129,2267,943,1182,0.41596824,0.521393913,0.999891316161287,0.474948375176611,0.518421910661885,0.405804772617,0.369681076051096,0.505778814547768,11.8771716371917,3.2654207579052,23.1510852977072
"10",10200,2010,177,147,325,37,129,3290,1386,1897,0.421276596,0.576595745,0.999692402337742,0.544447862196247,0.452168563518917,0.0987811920610316,0.0933003004585947,0.106052954332299,2.89114680704502,0.824128573446853,4.85437689598804
"11",10200,2011,272,118,390,37,129,3440,1609,1815,0.467732558,0.527616279,0.999743655472956,0.697257113560625,0.30248654191233,0.11336879741868,0.149854002534296,0.0733329190230564,3.31809962844992,1.32367167872838,3.35667808654783
"12",10200,2012,221,88,309,37,129,3530,1598,1908,0.452691218,0.540509915,0.999676480103526,0.714978971206729,0.284697508896797,0.0875329310784397,0.115822021906609,0.0550653901508041,2.5619305549822,1.02306463343046,2.52051590075525
"13",10200,2013,181,135,316,37,129,3587,1590,1968,0.443267354,0.548647895,0.999683644416324,0.572603606453654,0.42708003796267,0.0880934459591313,0.0919668716020527,0.084900320734545,2.57833581162875,0.812350296035812,3.88615440305777
"14",10200,2014,212,125,337,37,129,3699,1678,1844,0.453636118,0.498513112,0.999703352121032,0.628893503411451,0.370809848709582,0.0911032413289719,0.114961227699149,0.0744890054227996,2.66642707770698,1.01546117343367,3.4095957930277
"15",10200,2015,163,88,252,37,129,3703,1678,1866,0.453146098,0.503915744,0.999603332011107,0.646568821896073,0.349067830226101,0.0680510923280495,0.0873479449118482,0.0524402598176509,1.991732375315,0.771550969073911,2.4003554382915
"16",10200,2016,212,148,361,37,129,3644,1991,1438,0.546377607,0.394621295,0.999723068402105,0.587094987538078,0.409858764885073,0.0990642408276392,0.147416730408177,0.0743307719351112,2.89943113243876,1.30214307066895,3.40235294918952
"17",10200,2017,167,131,298,37,129,3603,1995,1331,0.553705246,0.369414377,0.999664542099966,0.560214693056021,0.439449849043945,0.0827065582415143,0.125460145744121,0.065660869129367,2.42067135243619,1.10819890641641,3.00550426038454
"18",10200,2018,203,120,324,37,129,3503,1958,1329,0.558949472,0.379389095,0.999691453255168,0.626349892008639,0.37025609379821,0.0924895092917701,0.152734933413588,0.0612838976558909,2.70700063336803,1.34911915793348,2.80515652534017
"19",10300,2010,253,103,358,37,129,5104,2345,2622,0.459443574,0.513714734,0.999720748394303,0.706506562412734,0.287629153867635,0.070139691620462,0.0964875481484306,0.0439213679587224,2.05286189855181,0.852281772085392,2.01041899493861
"20",10300,2011,375,156,535,37,129,5040,2199,2699,0.436309524,0.535515873,0.999813119043169,0.700803588114371,0.291534292655578,0.106148687526041,0.13893520062243,0.0709381110454277,3.10678007229677,1.22722507995919,3.24706020187766
"21",10300,2012,391,196,587,37,129,4821,2246,2427,0.465878448,0.503422526,0.999829671265542,0.665985351728837,0.333844319536706,0.121756445624443,0.161097606196696,0.0872623658786341,3.56359091907664,1.42298727579666,3.99427262990904
"22",10300,2013,470,140,612,37,129,5419,2204,3050,0.406717106,0.562834471,0.99983662800196,0.767848390785819,0.22872079725535,0.112933882009928,0.154093308416118,0.0635179892019418,3.30537044115108,1.36111778652887,2.90741791402992
"23",10300,2014,346,115,461,37,129,4882,2175,2620,0.445514134,0.536665301,0.999783127304272,0.750379527217523,0.249403600086749,0.0944265787263677,0.132056028395863,0.0528711323617305,2.76369515176786,1.16646083412386,2.42007782826417
"24",10300,2015,325,150,477,37,129,5161,2398,2669,0.464638636,0.51714784,0.999790400335359,0.681198910081744,0.314399496960805,0.0924221580670787,0.121763890449964,0.0625495183687086,2.70502938485245,1.07554960531345,2.8630879614427
"25",10300,2016,397,131,536,37,129,5703,2812,2786,0.493073821,0.488514817,0.999813467636635,0.740533482559224,0.244357396008207,0.0939839736283775,0.142493090700262,0.0465844031151097,2.75074090117484,1.25865219069637,2.13231448024366
"26",10300,2017,321,129,454,37,129,5635,2589,2962,0.459449867,0.525643301,0.999779784188505,0.706892754899802,0.284078396828892,0.0805664495749853,0.10836906248945,0.0498242632575026,2.35803424299393,0.957232082171458,2.28061305731286
"27",10300,2018,378,128,513,37,129,5902,2715,3137,0.460013555,0.531514741,0.999805106217112,0.736698499317872,0.249464042097057,0.0869182155503973,0.120493449364062,0.0471437516113587,2.54393894343086,1.06432770361939,2.15791761816747
"28",10400,2010,93,140,233,37,129,2786,2372,225,0.851399856,0.080760948,0.999570999571,0.398970398970399,0.600600600600601,0.083629446179247,0.413149711239449,0.0590194342565659,2.44768261296834,3.64938248290905,2.70150492150978
"29",10400,2011,76,104,184,37,129,2726,2342,235,0.859134263,0.086206897,0.999456816947311,0.412819120043455,0.564910374796306,0.0674956898132864,0.323266695023394,0.0444045941676273,1.97547674837146,2.85543903827769,2.03253777662473
